batch,position,earliest_layer,final_pred
0,1,19,366
0,10,19,362
0,23,14,1529
0,35,20,14
0,36,16,3628
0,51,20,14
0,53,20,834
0,66,8,1350
0,72,12,86
0,89,20,2275
0,99,20,362
0,108,20,436
0,111,20,16
0,116,18,57525
0,120,1,671
0,124,16,57525
0,125,20,14
0,152,8,440
0,155,20,294
0,169,17,851
0,170,20,12387
0,178,20,2310
0,182,20,344
0,184,4,850
0,186,20,477
0,201,7,3144
0,220,20,304
0,224,8,2042
0,230,20,305
0,233,17,14841
0,237,20,344
0,241,15,6360
0,250,19,588
0,253,20,396
0,261,8,2042
0,264,20,782
0,266,15,17228
0,267,17,588
0,268,20,1347
0,279,18,57525
0,284,19,759
0,292,17,57525
0,302,19,18294
0,306,20,201
0,330,19,48
0,332,17,36
0,344,16,8863
0,351,14,3109
0,365,18,5389
0,368,20,15
0,372,20,270
0,380,20,603
0,385,5,1328
0,391,19,77302
0,393,15,223
0,402,20,564
0,403,18,201
0,411,20,260
0,432,15,294
0,434,19,10841
0,463,18,31949
0,466,20,260
0,492,16,4895
0,499,9,115726
0,503,15,52921
0,507,19,603
0,509,19,992
0,522,20,270
0,533,17,223
0,537,14,23
0,543,1,223
0,560,17,42926
0,574,13,8642
0,585,11,7
0,587,20,477
0,601,19,1311
0,603,1,223
0,611,17,223
0,614,20,305
0,620,14,12133
0,627,15,223
0,629,17,19
0,635,20,14
0,645,3,2511
0,653,1,477
0,656,19,16
0,666,20,560
0,667,20,14
0,675,18,12639
0,704,18,3417
0,709,19,201
0,722,20,440
0,725,18,362
0,732,16,42926
0,737,19,12639
0,740,16,344
0,755,15,1031
0,761,16,343
0,773,20,295
0,778,19,223
0,823,20,295
0,833,18,7833
0,845,20,295
0,867,20,270
0,870,20,294
0,876,17,45609
0,880,19,1031
0,887,20,295
0,894,18,28521
0,911,19,4606
0,923,15,223
0,927,12,3646
0,936,12,643
0,939,16,4117
0,944,1,671
0,953,18,42926
0,968,17,2947
0,977,17,560
0,983,16,477
0,987,3,282
0,995,20,16
0,1047,15,362
0,1049,2,3006
0,1051,20,440
0,1052,18,8605
0,1073,19,16
0,1076,12,957
0,1077,16,21
0,1079,8,1320
0,1088,19,14
0,1091,20,2578
0,1097,20,29007
0,1103,19,270
0,1110,20,362
0,1142,20,477
0,1155,20,4608
0,1164,20,7765
0,1166,20,455
0,1175,20,260
0,1178,20,305
0,1184,20,455
0,1185,19,436
0,1198,20,270
0,1202,17,11930
0,1205,20,11493
0,1208,19,603
0,1222,17,2486
0,1225,17,33
0,1226,19,455
0,1228,2,377
0,1230,16,3701
0,1233,19,16
0,1234,17,790
0,1237,20,477
0,1240,15,957
0,1241,19,19
0,1242,20,304
0,1244,20,19
0,1260,16,790
0,1263,20,2846
0,1264,18,3652
0,1265,19,468
0,1268,17,2753
0,1276,17,7615
0,1283,6,9886
0,1290,18,32023
0,1305,18,32023
0,1309,15,8642
0,1317,19,223
0,1324,20,270
0,1328,15,2755
0,1346,14,12053
0,1358,20,455
0,1362,20,344
