batch,position,earliest_layer,final_pred
0,1,19,366
0,10,20,362
0,23,14,1529
0,35,20,305
0,36,18,3628
0,51,20,14
0,53,12,2413
0,66,20,983
0,72,11,86
0,89,19,2275
0,99,20,362
0,108,20,436
0,111,20,16
0,116,17,5597
0,120,1,671
0,124,17,57525
0,125,20,16
0,152,9,440
0,155,19,3513
0,169,15,851
0,170,18,12387
0,178,19,3375
0,182,19,344
0,184,20,850
0,186,19,477
0,201,19,7427
0,220,20,304
0,224,20,2042
0,230,20,305
0,233,17,14841
0,237,19,440
0,241,19,6360
0,250,18,588
0,253,20,270
0,261,20,1162
0,264,20,260
0,266,20,1341
0,267,16,588
0,268,20,1749
0,279,18,57525
0,284,15,442
0,292,18,57525
0,302,20,18294
0,306,20,201
0,330,19,38
0,332,18,36
0,344,15,8863
0,351,13,3109
0,365,18,24116
0,368,20,15
0,372,20,270
0,380,20,603
0,385,18,1328
0,391,18,77302
0,393,15,223
0,402,14,564
0,403,15,201
0,411,20,2236
0,432,16,294
0,434,19,10841
0,463,18,31949
0,466,19,260
0,492,17,4895
0,499,12,115726
0,503,18,52921
0,507,19,16
0,509,18,992
0,522,20,270
0,533,18,223
0,537,20,19
0,543,10,223
0,560,17,42926
0,574,16,8642
0,585,16,3646
0,587,20,477
0,601,18,1311
0,603,5,223
0,611,19,223
0,614,16,790
0,620,13,12133
0,627,15,943
0,629,19,19
0,635,19,1031
0,645,19,260
0,653,8,477
0,656,18,16
0,666,18,91367
0,667,19,16
0,675,18,12639
0,704,16,2755
0,709,18,201
0,722,20,436
0,725,18,362
0,732,17,42926
0,737,16,12639
0,740,15,344
0,755,15,1031
0,761,17,343
0,773,20,477
0,778,15,223
0,823,19,295
0,833,17,7833
0,845,18,1031
0,867,19,1031
0,870,20,294
0,876,17,45609
0,880,19,1031
0,887,19,295
0,894,20,2578
0,911,20,4606
0,923,16,223
0,927,14,3646
0,936,20,792
0,939,15,4117
0,944,1,671
0,953,17,42926
0,968,18,2947
0,977,17,359
0,983,15,477
0,987,1,282
0,995,19,4316
0,1047,15,362
