batch,position,earliest_layer,final_pred
0,1,20,396
0,10,18,16
0,23,20,260
0,35,20,14
0,36,17,60377
0,51,20,2924
0,53,17,1309
0,66,15,710
0,72,20,344
0,89,19,60377
0,99,17,37030
0,108,20,36
0,111,16,756
0,116,20,344
0,120,18,270
0,124,20,5885
0,125,20,5172
0,152,17,2622
0,155,16,811
0,169,19,304
0,170,18,223
0,178,20,295
0,182,1,85
0,184,19,26325
0,186,18,19814
0,201,20,6292
0,220,20,270
0,224,17,436
0,230,20,305
0,233,18,26576
0,237,20,469
0,241,17,965
0,250,16,6379
0,253,18,4096
0,261,16,14376
0,264,2,3396
0,266,20,304
0,267,17,3818
0,268,2,1737
0,279,20,455
0,284,20,14
0,292,20,304
0,302,8,1807
0,306,20,366
0,330,18,57158
0,332,20,455
0,344,19,15764
0,351,18,603
0,365,20,362
0,368,20,344
0,372,3,7551
0,380,20,588
0,385,20,24484
0,391,17,436
0,393,17,76684
0,402,19,436
0,403,20,270
0,411,20,412
0,432,10,60377
0,434,20,377
0,463,20,412
0,466,19,786
0,492,18,4096
0,499,20,477
0,503,20,412
0,507,19,850
0,509,20,304
0,522,20,851
0,533,20,29410
0,537,3,850
0,543,19,671
0,560,18,14725
0,574,18,294
0,585,17,16
0,587,20,4368
0,601,18,5992
0,603,19,778
0,611,18,76684
0,614,19,983
0,620,17,2334
0,627,19,16
0,629,20,223
0,635,20,671
0,645,18,103432
0,653,17,26325
0,656,17,4797
0,666,17,76684
0,667,6,6379
0,675,16,304
0,704,10,3929
0,709,16,296
0,722,19,16
0,725,17,18711
0,732,20,455
0,737,20,223
0,740,20,778
0,755,17,477
0,761,16,28
0,773,20,270
0,778,18,6873
0,823,14,1737
0,833,15,16086
0,845,20,305
0,867,5,57876
0,870,20,270
0,876,17,21941
0,880,17,61283
0,887,17,6302
0,894,9,7039
0,911,13,442
0,923,11,54323
0,927,18,436
0,936,19,295
0,939,1,14
0,944,1,85
0,953,17,2894
0,968,20,295
0,977,18,90379
0,983,20,201
0,987,13,943
0,995,11,798
0,1047,13,7634
0,1049,19,983
0,1051,15,436
0,1052,20,294
0,1073,19,442
0,1076,20,260
0,1077,15,2334
0,1079,18,4146
0,1088,15,1902
0,1091,16,16
0,1097,19,60377
0,1103,20,14
0,1110,19,442
0,1142,16,16588
0,1155,12,2052
0,1164,16,440
0,1166,16,579
0,1175,18,1407
0,1178,20,305
0,1184,20,7531
0,1185,20,304
0,1198,18,442
0,1202,18,4514
0,1205,17,37030
0,1208,18,294
0,1222,16,1066
0,1225,14,13759
0,1226,14,13759
0,1228,20,455
0,1230,17,851
0,1233,19,305
0,1234,18,76325
0,1237,19,16
0,1240,11,2953
0,1241,20,294
0,1242,19,477
0,1244,19,477
0,1260,20,2455
0,1263,13,61940
0,1264,20,14
0,1265,19,3346
0,1268,18,294
0,1276,19,4798
0,1283,19,76325
0,1290,20,305
0,1305,18,76325
0,1309,6,70249
0,1317,15,1749
0,1324,19,890
0,1328,20,305
0,1346,16,14
0,1358,20,70249
0,1362,20,2511
0,1365,18,62397
0,1367,19,16
0,1369,20,49731
0,1370,20,667
0,1382,17,851
0,1386,1,85
0,1389,18,50868
0,1437,15,2755
0,1440,16,1623
0,1455,20,6934
0,1459,18,442
0,1462,20,1894
0,1478,20,304
0,1490,20,14
0,1505,20,1
0,1515,19,14
0,1516,20,440
0,1518,18,270
0,1537,17,294
0,1546,17,5992
0,1548,15,2275
0,1550,12,3345
0,1569,18,60377
0,1570,20,603
0,1589,19,696
0,1604,20,2591
0,1607,19,14
0,1616,20,16
0,1621,1,294
0,1623,20,396
0,1631,20,14
0,1632,16,8323
0,1652,18,114609
0,1653,19,60377
0,1655,4,671
0,1662,20,29410
0,1678,1,294
0,1679,16,61940
0,1689,20,305
0,1691,19,294
0,1694,19,5756
0,1698,20,366
0,1706,20,29410
0,1732,17,63819
0,1740,18,442
0,1750,18,63819
0,1756,14,266
0,1771,14,8183
0,1782,16,287
0,1784,15,778
0,1788,20,396
0,1789,20,270
0,1794,18,603
0,1810,4,671
0,1813,17,602
0,1817,20,260
0,1819,18,294
0,1824,17,304
0,1845,15,3317
0,1846,16,304
0,1851,18,57876
0,1853,20,671
0,1857,19,14
0,1858,19,60377
0,1864,18,4491
0,1867,20,4669
0,1869,3,27694
0,1907,16,436
0,1911,17,52805
0,1932,15,6379
0,1957,19,60377
0,1962,19,5538
0,1963,20,14
0,1977,16,2334
0,1981,20,14
0,1983,20,295
0,1986,19,60377
0,2007,20,6934
0,2024,20,270
0,2043,19,304
0,2045,19,60377
0,2047,20,57158
1,8,17,4490
1,11,20,881
1,13,20,270
1,19,12,1099
1,20,18,850
1,31,20,305
1,34,20,16
1,64,17,21085
1,70,19,19
1,86,20,305
1,101,20,3959
1,102,20,972
1,113,19,455
1,115,15,8753
1,118,19,3495
1,122,15,5902
1,125,19,270
1,131,20,14
1,138,19,455
1,139,20,270
1,144,4,24541
1,149,19,270
1,151,20,14
1,155,17,270
1,158,16,294
1,161,13,28994
1,165,20,294
1,174,19,671
1,175,14,4585
1,197,14,13654
1,198,19,16
1,218,20,790
1,236,20,881
1,237,20,270
1,242,20,270
1,254,20,16
1,267,1,294
1,273,20,294
1,283,16,294
1,289,20,223
1,309,20,14
1,314,20,5682
1,333,17,4343
1,335,20,790
1,348,5,1933
1,349,20,270
1,362,3,798
1,371,20,14
1,382,20,270
1,389,20,995
1,393,19,16
1,396,16,294
1,413,17,11694
1,422,15,2215
1,427,20,16
1,428,20,270
1,440,16,223
1,453,17,881
1,463,17,17072
1,464,8,1752
1,465,1,294
1,473,17,786
1,479,20,1494
1,483,20,270
1,485,15,17425
1,509,12,17425
1,526,19,455
1,528,17,294
1,529,20,270
1,547,20,24206
1,550,19,280
1,555,10,8869
1,565,20,1357
1,570,19,223
1,574,20,260
1,576,20,16
1,603,20,1653
1,622,18,51265
1,623,18,14
1,642,15,223
1,643,17,19966
1,655,15,223
1,660,15,9642
1,661,19,223
1,666,13,304
1,672,11,15
1,707,15,223
1,717,18,5602
1,724,18,16
1,726,17,201
1,729,20,710
1,732,18,779
1,742,20,305
1,758,17,10161
1,764,19,54409
1,780,20,5101
1,799,20,16
1,818,17,3076
1,822,17,7558
1,823,20,91
1,827,14,2396
1,834,19,2428
1,842,20,297
1,851,20,3681
1,853,16,201
1,863,16,7558
1,865,20,14
1,870,20,7558
1,905,1,294
1,914,17,14
1,920,20,3747
1,933,20,14
1,938,17,14
1,941,18,14
1,946,13,6890
1,962,20,3076
1,967,19,734
1,969,20,343
1,972,19,16
1,974,20,455
1,983,18,24
1,1015,20,515
1,1020,20,856
1,1024,16,5773
1,1045,19,223
1,1047,17,10704
1,1050,17,4786
1,1051,16,15106
1,1056,1,294
1,1059,20,16
1,1060,16,16
1,1080,20,270
1,1089,20,270
1,1108,11,15
1,1112,19,14
1,1149,20,14
1,1154,18,8577
1,1163,15,851
1,1164,20,76693
1,1170,9,4128
1,1186,19,14
1,1189,1,294
1,1196,14,1099
1,1214,3,3584
1,1215,20,223
1,1216,17,56353
1,1220,4,18171
1,1223,14,12471
1,1228,16,3078
1,1236,17,14
1,1240,20,23
1,1243,15,513
1,1250,20,270
1,1251,16,1975
1,1254,20,16
1,1255,20,270
1,1258,20,304
1,1267,20,223
1,1276,16,12471
1,1278,19,4776
1,1279,20,270
1,1281,19,304
1,1287,18,396
1,1288,20,10928
1,1292,20,304
1,1293,19,304
1,1324,14,5798
1,1340,13,2352
1,1341,8,4018
1,1356,20,14
1,1357,20,305
1,1364,17,8836
1,1370,18,566
1,1374,15,4909
1,1376,20,6935
1,1388,18,16088
1,1394,16,270
1,1405,14,366
1,1407,17,4128
1,1421,16,6590
1,1423,19,3226
1,1434,20,295
1,1437,20,223
1,1455,3,3450
1,1462,18,15777
1,1468,19,455
1,1474,17,104234
1,1495,19,2993
1,1497,15,8628
1,1505,17,62086
1,1506,4,14745
1,1536,17,14745
1,1539,20,6935
1,1542,19,2336
1,1544,20,881
1,1556,18,24
1,1559,20,3464
1,1586,20,1117
1,1588,17,294
1,1589,20,411
1,1594,17,10788
1,1596,10,2572
1,1610,20,6935
1,1626,20,223
1,1627,19,30137
1,1629,19,304
1,1635,17,62086
1,1655,20,16
1,1656,20,270
1,1663,14,538
1,1673,20,16
1,1678,18,47032
1,1682,18,7933
1,1692,19,15
1,1709,20,270
1,1735,19,8560
1,1745,17,42020
1,1751,19,20045
1,1753,17,21734
1,1755,18,15919
1,1762,20,1404
1,1769,20,477
1,1783,19,270
1,1784,17,12070
1,1795,17,418
1,1812,10,890
1,1828,20,294
1,1830,1,418
1,1840,13,2845
1,1845,19,21734
1,1848,1,1585
1,1852,14,25648
1,1858,19,8560
1,1866,19,270
1,1883,20,295
1,1886,20,201
1,1898,18,201
1,1925,19,14
1,1930,19,15000
1,1948,18,8343
1,1951,17,5260
1,1952,20,270
1,1954,8,3459
1,1956,15,1345
1,1966,19,14
1,1973,20,305
1,1974,20,14
1,1990,20,294
1,1999,1,85
1,2016,16,961
1,2019,17,538
1,2028,7,2192
1,2029,20,270
1,2035,19,9206
1,2037,17,305
1,2044,15,2604
2,13,20,397
2,14,17,3416
2,17,20,881
2,23,20,455
2,29,1,418
2,30,17,7553
2,47,19,7954
2,52,20,1132
2,53,17,2604
2,57,17,1980
2,66,15,1980
2,72,20,442
2,75,18,509
2,89,19,7553
2,102,1,2305
2,108,19,11860
2,113,19,477
2,115,19,7553
2,131,20,75
2,132,20,14
2,142,20,305
2,166,5,2195
2,168,20,295
2,215,20,201
2,217,20,270
2,234,5,2195
2,243,14,3004
2,247,14,3783
2,248,20,294
2,252,19,32988
2,261,20,2006
2,263,20,223
2,266,18,3506
2,273,19,3584
2,281,5,2195
2,285,17,16381
2,292,20,14293
2,303,20,11055
2,309,18,1948
2,312,18,7553
2,313,20,3445
2,326,5,428
2,338,17,418
2,358,20,260
2,369,20,305
2,380,11,15
2,401,18,31155
2,404,20,462
2,409,4,2662
2,421,20,943
2,427,20,671
2,430,16,811
2,437,17,7553
2,447,20,2604
2,449,20,305
2,459,13,412
2,463,16,41182
2,470,19,881
2,472,17,786
2,473,18,5347
2,476,11,851
2,481,16,969
2,487,20,71008
2,489,1,304
2,513,20,270
2,518,20,305
2,533,18,2997
2,539,20,881
2,561,13,16
2,577,20,305
2,594,18,4454
2,616,20,1952
2,627,20,850
2,629,2,367
2,641,20,14
2,646,1,294
