idx,id,normal_nll,knockout_nll,delta_knockout_minus_normal,normal_tokens,knockout_tokens,normal_answer,knockout_answer
0,4222362,8.4114408493042,8.371723175048828,-0.039717674255371094,2,2,political leader,political leader
1,4725190,12.541925430297852,12.520675659179688,-0.021249771118164062,2,2,journo,journo
2,4382392,9.328790664672852,9.326475143432617,-0.002315521240234375,2,2,political leader,political leader
3,4822110,10.38390064239502,10.293388366699219,-0.09051227569580078,2,2,political leader,political leader
4,4011112,11.396463394165039,11.383745193481445,-0.01271820068359375,2,2,graphic artist,graphic artist
5,1730929,15.58604621887207,15.574041366577148,-0.012004852294921875,1,1,mathematician,mathematician
6,276787,12.044733047485352,12.032303810119629,-0.012429237365722656,2,2,band manager,band manager
7,1758574,8.852472305297852,8.865594863891602,0.01312255859375,2,2,political leader,political leader
8,6339290,8.663829803466797,8.639202117919922,-0.024627685546875,2,2,political leader,political leader
9,6250781,11.369121551513672,11.378266334533691,0.009144783020019531,2,2,actresses,actresses
10,1223902,13.508814811706543,13.471406936645508,-0.037407875061035156,2,2,journo,journo
11,4607081,10.792258262634277,10.571739196777344,-0.2205190658569336,2,2,actresses,actresses
12,596555,9.309552192687988,9.26505184173584,-0.04450035095214844,3,3,motion picture director,motion picture director
13,3994636,8.461930274963379,8.45545768737793,-0.006472587585449219,2,2,political leader,political leader
14,394743,11.603849411010742,11.600937843322754,-0.0029115676879882812,2,2,actresses,actresses
15,4650739,8.602157592773438,8.606160163879395,0.004002571105957031,2,2,political leader,political leader
16,1085496,8.661101341247559,8.675663948059082,0.014562606811523438,2,2,scriptwriter,scriptwriter
17,4711830,8.856084823608398,8.805976867675781,-0.05010795593261719,2,2,political leader,political leader
18,783368,9.075738906860352,9.038701057434082,-0.03703784942626953,2,2,political leader,political leader
19,2693461,9.579451560974121,9.506290435791016,-0.07316112518310547,2,2,sitter,sitter
20,4419938,9.079068183898926,9.049568176269531,-0.02950000762939453,2,2,political leader,political leader
21,3696050,8.738842010498047,8.757027626037598,0.01818561553955078,2,2,political leader,political leader
22,4651204,11.438976287841797,11.467494010925293,0.028517723083496094,2,2,actresses,actresses
23,2605479,9.969215393066406,9.957595825195312,-0.01161956787109375,2,2,actresses,actresses
24,839130,6.426451206207275,6.408929347991943,-0.01752185821533203,3,3,barrister,barrister
25,5383283,9.669697761535645,9.695549964904785,0.025852203369140625,2,2,actresses,actresses
26,4087826,8.806148529052734,8.84819507598877,0.042046546936035156,2,2,business man,business man
27,3635613,11.18675708770752,11.228897094726562,0.04214000701904297,2,2,actresses,actresses
28,5982132,11.545116424560547,11.549755096435547,0.004638671875,2,2,test pilot,test pilot
29,3261572,6.896238803863525,6.87723970413208,-0.018999099731445312,3,3,barrister,barrister
30,857817,12.462852478027344,12.411373138427734,-0.051479339599609375,2,2,song writer,song writer
31,6206947,12.340404510498047,12.312253952026367,-0.028150558471679688,2,2,record producer,record producer
32,2657379,14.497916221618652,14.455877304077148,-0.042038917541503906,2,2,journo,journo
33,3835721,10.705279350280762,10.709796905517578,0.004517555236816406,2,2,manga artist,manga artist
34,4198902,5.362906455993652,5.379639625549316,0.016733169555664062,4,4,gastronomist,gastronomist
35,3583128,17.387868881225586,17.391735076904297,0.0038661956787109375,1,1,composer,composer
36,5807710,8.980284690856934,8.98458480834961,0.004300117492675781,2,2,political leader,political leader
37,4172941,15.186443328857422,15.15378475189209,-0.03265857696533203,1,1,architect,architect
38,2303897,9.881529808044434,9.898929595947266,0.01739978790283203,2,2,actresses,actresses
39,3121959,17.232799530029297,17.215513229370117,-0.017286300659179688,1,1,astronomer,astronomer
40,5120341,12.90457534790039,12.894640922546387,-0.009934425354003906,2,2,dental surgeon,dental surgeon
41,3931528,9.201419830322266,9.176095008850098,-0.02532482147216797,2,2,jockey,jockey
42,3174290,8.96870231628418,8.970001220703125,0.0012989044189453125,2,2,medical doctors,medical doctors
43,1917994,9.940765380859375,10.030653953552246,0.0898885726928711,2,2,actresses,actresses
44,2224150,11.601594924926758,11.600587844848633,-0.001007080078125,2,2,musical artist,musical artist
45,1536600,10.98157787322998,11.038312911987305,0.05673503875732422,2,2,actresses,actresses
46,2218017,14.793364524841309,14.840109825134277,0.04674530029296875,1,1,architect,architect
47,5394168,11.182377815246582,11.110301971435547,-0.07207584381103516,2,2,actresses,actresses
48,6539068,9.417641639709473,9.407079696655273,-0.010561943054199219,2,2,political leader,political leader
49,1772720,16.459487915039062,16.43365478515625,-0.0258331298828125,1,1,composer,composer
