batch,row,global_count,global_nll,repeat_ngram_count,repeat_ngram_nll,entity_proxy_count,entity_proxy_nll
0,0,2048,3.3204452991485596,307,1.4080275743714372,224,4.7340801783970425
1,0,2048,1.975428819656372,1378,0.9596960679540094,172,5.15738305380178
2,0,2048,2.944089412689209,441,1.3323696421928146,133,4.457319446076128
3,0,2048,2.7650949954986572,371,0.7684867427034198,256,4.309841156005859
4,0,2048,3.716400384902954,246,1.6152904479484247,118,5.15632913880429
5,0,2048,3.214853525161743,273,1.271916763249771,244,5.174566050044826
6,0,2048,2.9023776054382324,457,1.2021386879017368,243,4.43262020158179
7,0,2048,3.0411548614501953,267,1.1802623048703769,247,3.8325289212740383
8,0,2048,3.4437193870544434,435,1.1479224895608837,142,4.73731973137654
9,0,2048,3.1372039318084717,273,1.229792221125229,239,4.333921041448745
10,0,2048,3.417241096496582,328,1.3861665493104516,151,4.44855746843957
11,0,2048,2.1544768810272217,459,0.6185238906760621,281,2.273838464051379
12,0,2048,2.8458058834075928,558,0.7089212068947413,372,4.988096175655242
13,0,2048,2.7243781089782715,303,1.2447394947014232,218,4.465596330275229
14,0,2048,3.231520891189575,331,1.1166783819746036,251,5.236166175143177
15,0,2048,2.7701611518859863,452,1.4693877633694,157,4.2157802703274285
