batch,row,global_count,global_nll,repeat_ngram_count,repeat_ngram_nll,entity_proxy_count,entity_proxy_nll
0,0,2048,2.7437996864318848,345,1.0718982641247736,160,3.8040889739990233
1,0,2048,3.459688425064087,251,0.987602689826631,398,5.580927709838254
2,0,2048,2.794999837875366,434,1.0564499252952189,312,4.09948495718149
3,0,2048,2.1443862915039062,737,0.7342218738074542,292,3.2816820536574274
4,0,2048,2.307141065597534,526,0.48368229158930903,204,3.8520145790249694
5,0,2048,3.03688383102417,383,1.2905029615596442,158,4.300054236303402
6,0,2048,2.8217005729675293,362,1.318630661095045,192,4.77425479888916
7,0,2048,2.892202615737915,360,1.2163541158040365,200,5.042804260253906
8,0,2048,2.613037586212158,367,1.2258714888985864,197,3.8374807290014274
9,0,2048,2.7396364212036133,487,1.1716001538035805,127,4.480826310285433
10,0,2048,2.3941516876220703,249,0.9961760494124937,117,4.72907224475828
11,0,2048,2.8828399181365967,258,1.230808938196463,176,4.031222256747159
12,0,2048,2.312896728515625,401,0.9696284648486206,202,3.3298503007038986
13,0,2048,2.8034496307373047,267,1.2572168928853582,132,4.572795521129262
14,0,2048,3.1191859245300293,386,1.5402468350267162,201,3.839484219527363
15,0,2048,2.8910739421844482,239,1.1891507583682008,196,4.688669944296078
